2883.810059, 2872.620117, 2928.810059
2883.813721, 2872.604980, 2928.780029
2883.787598, 2872.623779, 2928.802490
2883.824951, 2872.623779, 2928.806152
2883.798828, 2872.604980, 2928.821289
2883.806152, 2872.597412, 2928.813721
2883.806152, 2872.560059, 2928.810059
2883.798828, 2872.586182, 2928.764893
2883.817383, 2872.574951, 2928.813721
2883.787598, 2872.533691, 2928.836182
2883.735107, 2872.533691, 2928.817383
2883.701172, 2872.533691, 2928.866211
2883.731201, 2872.530029, 2928.851318
2883.701172, 2872.563721, 2928.840088
2883.716309, 2872.574951, 2928.840088
2883.731201, 2872.548828, 2928.847412
2883.731201, 2872.578857, 2928.858643
2883.731201, 2872.563721, 2928.877441
2883.712402, 2872.574951, 2928.866211
2883.712402, 2872.586182, 2928.862549
2883.689941, 2872.620117, 2928.892578
2883.742432, 2872.604980, 2928.892578
2883.742432, 2872.612549, 2928.907471
2883.742432, 2872.586182, 2928.952393
2883.727539, 2872.586182, 2928.937500
2883.719971, 2872.608643, 2928.918701
2883.716309, 2872.604980, 2928.915039
2883.742432, 2872.612549, 2928.926270
2883.794922, 2872.612549, 2928.922607
2883.764893, 2872.631348, 2928.937500
2883.776367, 2872.601318, 2928.948730
2883.776367, 2872.612549, 2928.948730
2883.761230, 2872.590088, 2928.933838
2883.731201, 2872.560059, 2928.896240
2883.750000, 2872.578857, 2928.907471
2883.768799, 2872.563721, 2928.915039
2883.794922, 2872.563721, 2928.918701
2883.798828, 2872.560059, 2928.892578
2883.772461, 2872.571289, 2928.881348
2883.783691, 2872.571289, 2928.862549
2883.780029, 2872.612549, 2928.810059
2883.750000, 2872.604980, 2928.791260
2883.757568, 2872.612549, 2928.780029
2883.783691, 2872.608643, 2928.798828
2883.821289, 2872.582520, 2928.794922
2883.813721, 2872.604980, 2928.802490
2883.817383, 2872.608643, 2928.791260
2883.813721, 2872.593750, 2928.824951
2883.813721, 2872.601318, 2928.854980
2883.851318, 2872.612549, 2928.840088
2883.858643, 2872.597412, 2928.888672
2883.866211, 2872.620117, 2928.907471
2883.858643, 2872.635010, 2928.922607
2883.828857, 2872.683838, 2928.888672
2883.810059, 2872.672607, 2928.896240
2883.783691, 2872.676270, 2928.881348
2883.716309, 2872.649902, 2928.885010
2883.723633, 2872.653809, 2928.873779
2883.746338, 2872.653809, 2928.847412
2883.712402, 2872.661133, 2928.828857
2883.708740, 2872.653809, 2928.810059
2883.712402, 2872.653809, 2928.787598
2883.750000, 2872.642578, 2928.772461
2883.776367, 2872.616211, 2928.746338
2883.753662, 2872.638672, 2928.731201
2883.764893, 2872.612549, 2928.753662
2883.806152, 2872.635010, 2928.742432
2883.716309, 2872.642578, 2928.738770
2883.697510, 2872.627441, 2928.719971
2883.701172, 2872.627441, 2928.738770
2883.738770, 2872.616211, 2928.746338
2883.761230, 2872.620117, 2928.768799
2883.757568, 2872.638672, 2928.783691
2883.757568, 2872.627441, 2928.813721
2883.742432, 2872.578857, 2928.836182
2883.738770, 2872.597412, 2928.847412
2883.693848, 2872.597412, 2928.847412
2883.776367, 2872.604980, 2928.877441
2883.776367, 2872.623779, 2928.892578
2883.791260, 2872.623779, 2928.929932
2883.750000, 2872.608643, 2928.933838
2883.727539, 2872.590088, 2928.929932
2883.727539, 2872.586182, 2928.926270
2883.719971, 2872.620117, 2928.929932
2883.708740, 2872.642578, 2928.918701
2883.731201, 2872.657471, 2928.929932
2883.761230, 2872.646240, 2928.926270
2883.753662, 2872.646240, 2928.915039
2883.753662, 2872.635010, 2928.907471
2883.731201, 2872.604980, 2928.858643
2883.731201, 2872.620117, 2928.899902
2883.712402, 2872.638672, 2928.911133
2883.682617, 2872.620117, 2928.911133
2883.697510, 2872.593750, 2928.922607
2883.712402, 2872.623779, 2928.948730
2883.656250, 2872.612549, 2928.911133
2883.689941, 2872.601318, 2928.918701
2883.648682, 2872.578857, 2928.915039
2883.671143, 2872.574951, 2928.915039
2883.663818, 2872.593750, 2928.948730
2883.719971, 2872.597412, 2928.926270
2883.735107, 2872.574951, 2928.941162
2883.723633, 2872.571289, 2928.948730
2883.731201, 2872.582520, 2928.945068
2883.753662, 2872.556152, 2928.945068
2883.817383, 2872.522461, 2928.952393
2883.791260, 2872.563721, 2928.963867
2883.828857, 2872.556152, 2928.952393
2883.806152, 2872.537598, 2928.959961
2883.806152, 2872.544922, 2928.933838
2883.731201, 2872.530029, 2928.926270
2883.686279, 2872.518799, 2928.899902
2883.701172, 2872.503662, 2928.866211
2883.719971, 2872.503662, 2928.862549
2883.716309, 2872.533691, 2928.851318
2883.701172, 2872.574951, 2928.847412
2883.735107, 2872.544922, 2928.840088
2883.753662, 2872.560059, 2928.851318
2883.750000, 2872.567383, 2928.832520
2883.780029, 2872.582520, 2928.866211
2883.828857, 2872.631348, 2928.851318
2883.888672, 2872.635010, 2928.873779
2883.862549, 2872.668701, 2928.903809
2883.791260, 2872.676270, 2928.877441
2883.787598, 2872.657471, 2928.866211
2883.787598, 2872.631348, 2928.877441
2883.764893, 2872.638672, 2928.847412
2883.742432, 2872.638672, 2928.832520
2883.716309, 2872.649902, 2928.862549
2883.693848, 2872.646240, 2928.851318
2883.708740, 2872.620117, 2928.866211
2883.716309, 2872.620117, 2928.832520
2883.746338, 2872.593750, 2928.836182
2883.787598, 2872.567383, 2928.832520
2883.794922, 2872.556152, 2928.836182
2883.798828, 2872.560059, 2928.843750
2883.798828, 2872.590088, 2928.922607
2883.791260, 2872.556152, 2928.952393
2883.828857, 2872.548828, 2928.967529
2883.866211, 2872.526367, 2928.975098
2883.843750, 2872.522461, 2928.963867
2883.798828, 2872.537598, 2928.978760
2883.798828, 2872.590088, 2929.001221
2883.813721, 2872.604980, 2929.046143
2883.817383, 2872.620117, 2929.046143
2883.810059, 2872.635010, 2929.061279
2883.806152, 2872.616211, 2929.008789
2883.806152, 2872.646240, 2929.004883
2883.780029, 2872.635010, 2928.982422
2883.757568, 2872.653809, 2928.982422
2883.742432, 2872.631348, 2929.023682
2883.746338, 2872.620117, 2929.027588
2883.750000, 2872.593750, 2929.034912
2883.719971, 2872.620117, 2929.001221
2883.716309, 2872.590088, 2928.986328
2883.682617, 2872.597412, 2928.971191
2883.689941, 2872.582520, 2929.001221
2883.682617, 2872.571289, 2928.986328
2883.705078, 2872.593750, 2929.012451
2883.689941, 2872.590088, 2928.993652
2883.693848, 2872.604980, 2928.959961
2883.731201, 2872.578857, 2928.937500
2883.738770, 2872.574951, 2928.926270
2883.746338, 2872.567383, 2928.941162
2883.764893, 2872.582520, 2928.937500
2883.787598, 2872.586182, 2928.941162
2883.750000, 2872.574951, 2928.929932
2883.813721, 2872.586182, 2928.929932
2883.780029, 2872.586182, 2928.937500
2883.787598, 2872.567383, 2928.937500
2883.817383, 2872.601318, 2928.929932
2883.746338, 2872.635010, 2928.952393
2883.716309, 2872.604980, 2928.915039
2883.723633, 2872.608643, 2928.892578
2883.693848, 2872.635010, 2928.922607
2883.652588, 2872.616211, 2928.922607
2883.675049, 2872.661133, 2928.911133
2883.629883, 2872.657471, 2928.933838
2883.596191, 2872.649902, 2928.896240
2883.588867, 2872.672607, 2928.915039
2883.543701, 2872.657471, 2928.926270
2883.611328, 2872.653809, 2928.926270
2883.611328, 2872.657471, 2928.948730
2883.641357, 2872.646240, 2928.971191
2883.663818, 2872.627441, 2928.933838
2883.693848, 2872.627441, 2928.937500
2883.705078, 2872.593750, 2928.922607
2883.697510, 2872.597412, 2928.918701
2883.746338, 2872.590088, 2928.937500
2883.742432, 2872.556152, 2928.911133
2883.742432, 2872.541260, 2928.892578
2883.719971, 2872.537598, 2928.862549
2883.742432, 2872.537598, 2928.877441
2883.705078, 2872.533691, 2928.873779
2883.697510, 2872.533691, 2928.892578
2883.705078, 2872.518799, 2928.907471
2883.708740, 2872.518799, 2928.933838
2883.682617, 2872.530029, 2928.899902
2883.678711, 2872.541260, 2928.892578
2883.705078, 2872.556152, 2928.888672
2883.750000, 2872.533691, 2928.892578
2883.798828, 2872.560059, 2928.929932
2883.791260, 2872.590088, 2928.929932
2883.787598, 2872.578857, 2928.929932
2883.757568, 2872.578857, 2928.941162
2883.731201, 2872.597412, 2928.929932
2883.697510, 2872.616211, 2928.937500
2883.757568, 2872.620117, 2928.986328
2883.783691, 2872.638672, 2929.001221
2883.780029, 2872.631348, 2929.027588
2883.746338, 2872.646240, 2929.038818
2883.742432, 2872.623779, 2929.001221
2883.746338, 2872.597412, 2928.948730
2883.791260, 2872.593750, 2928.952393
2883.810059, 2872.574951, 2928.963867
2883.840088, 2872.567383, 2928.945068
2883.885010, 2872.544922, 2928.926270
2883.873779, 2872.541260, 2928.888672
2883.832520, 2872.526367, 2928.885010
2883.832520, 2872.511230, 2928.877441
2883.840088, 2872.511230, 2928.862549
2883.828857, 2872.507568, 2928.877441
2883.828857, 2872.537598, 2928.911133
2883.787598, 2872.526367, 2928.937500
2883.794922, 2872.548828, 2928.881348
2883.802490, 2872.571289, 2928.866211
2883.828857, 2872.560059, 2928.870117
2883.806152, 2872.533691, 2928.854980
2883.817383, 2872.556152, 2928.836182
2883.821289, 2872.593750, 2928.854980
2883.810059, 2872.616211, 2928.866211
2883.776367, 2872.608643, 2928.858643
2883.742432, 2872.582520, 2928.870117
2883.750000, 2872.586182, 2928.843750
2883.772461, 2872.574951, 2928.877441
2883.757568, 2872.544922, 2928.885010
2883.727539, 2872.541260, 2928.885010
2883.738770, 2872.574951, 2928.926270
2883.757568, 2872.537598, 2928.929932
2883.750000, 2872.514893, 2928.915039
2883.787598, 2872.492432, 2928.899902
2883.798828, 2872.518799, 2928.933838
2883.862549, 2872.518799, 2928.963867
2883.862549, 2872.533691, 2928.952393
2883.843750, 2872.537598, 2928.948730
2883.840088, 2872.578857, 2928.956299
2883.847412, 2872.582520, 2928.963867
2883.780029, 2872.574951, 2928.941162
2883.757568, 2872.597412, 2928.926270
2883.772461, 2872.597412, 2928.948730
2883.750000, 2872.590088, 2928.967529
2883.776367, 2872.586182, 2928.971191
2883.750000, 2872.601318, 2928.922607
2883.742432, 2872.582520, 2928.915039
2883.731201, 2872.578857, 2928.915039
2883.738770, 2872.582520, 2928.926270
2883.723633, 2872.604980, 2928.915039
2883.768799, 2872.604980, 2928.915039
2883.783691, 2872.608643, 2928.915039
2883.764893, 2872.604980, 2928.903809
2883.798828, 2872.612549, 2928.903809
2883.780029, 2872.620117, 2928.877441
2883.776367, 2872.635010, 2928.888672
2883.764893, 2872.623779, 2928.918701
2883.810059, 2872.627441, 2928.929932
2883.817383, 2872.604980, 2928.907471
2883.824951, 2872.601318, 2928.899902
2883.821289, 2872.582520, 2928.885010
2883.828857, 2872.548828, 2928.896240
2883.821289, 2872.560059, 2928.870117
2883.764893, 2872.537598, 2928.840088
2883.764893, 2872.522461, 2928.798828
2883.776367, 2872.500000, 2928.794922
2883.794922, 2872.556152, 2928.772461
2883.776367, 2872.541260, 2928.776367
2883.780029, 2872.526367, 2928.791260
2883.780029, 2872.526367, 2928.794922
2883.798828, 2872.526367, 2928.806152
2883.798828, 2872.544922, 2928.787598
2883.806152, 2872.541260, 2928.798828
2883.832520, 2872.567383, 2928.817383
2883.858643, 2872.567383, 2928.854980
2883.828857, 2872.567383, 2928.824951
2883.836182, 2872.503662, 2928.836182
2883.836182, 2872.507568, 2928.828857
2883.828857, 2872.503662, 2928.836182
2883.828857, 2872.514893, 2928.832520
2883.832520, 2872.537598, 2928.828857
2883.798828, 2872.544922, 2928.843750
2883.810059, 2872.541260, 2928.858643
2883.772461, 2872.552490, 2928.881348
2883.746338, 2872.556152, 2928.873779
2883.772461, 2872.560059, 2928.896240
2883.764893, 2872.604980, 2928.854980
2883.738770, 2872.604980, 2928.821289
2883.742432, 2872.612549, 2928.840088
2883.742432, 2872.604980, 2928.854980
2883.708740, 2872.593750, 2928.862549
2883.742432, 2872.563721, 2928.866211
2883.738770, 2872.593750, 2928.843750
2883.772461, 2872.563721, 2928.824951
2883.783691, 2872.560059, 2928.821289
2883.761230, 2872.552490, 2928.821289
2883.761230, 2872.530029, 2928.854980
2883.712402, 2872.537598, 2928.888672
2883.738770, 2872.522461, 2928.858643
2883.783691, 2872.503662, 2928.851318
2883.832520, 2872.496338, 2928.851318
2883.802490, 2872.503662, 2928.843750
2883.828857, 2872.496338, 2928.851318
2883.851318, 2872.507568, 2928.888672
2883.836182, 2872.492432, 2928.903809
2883.866211, 2872.473633, 2928.899902
2883.873779, 2872.458740, 2928.907471
2883.948730, 2872.469971, 2928.907471
2883.922607, 2872.485107, 2928.911133
2883.862549, 2872.500000, 2928.888672
2883.847412, 2872.503662, 2928.903809
2883.851318, 2872.511230, 2928.937500
2883.824951, 2872.511230, 2928.929932
2883.791260, 2872.507568, 2928.896240
2883.764893, 2872.511230, 2928.881348
2883.727539, 2872.507568, 2928.892578
2883.697510, 2872.530029, 2928.854980
2883.686279, 2872.514893, 2928.870117
2883.675049, 2872.492432, 2928.858643
2883.682617, 2872.544922, 2928.899902
2883.667480, 2872.552490, 2928.899902
2883.708740, 2872.530029, 2928.873779
2883.705078, 2872.533691, 2928.896240
2883.701172, 2872.552490, 2928.899902
2883.738770, 2872.582520, 2928.911133
2883.761230, 2872.593750, 2928.911133
2883.787598, 2872.604980, 2928.933838
2883.787598, 2872.616211, 2928.903809
2883.783691, 2872.631348, 2928.918701
2883.746338, 2872.582520, 2928.911133
2883.761230, 2872.567383, 2928.885010
2883.761230, 2872.593750, 2928.885010
2883.791260, 2872.560059, 2928.840088
2883.817383, 2872.552490, 2928.832520
2883.787598, 2872.530029, 2928.832520
2883.847412, 2872.537598, 2928.806152
2883.870117, 2872.514893, 2928.802490
2883.854980, 2872.500000, 2928.798828
2883.885010, 2872.485107, 2928.802490
2883.945068, 2872.466309, 2928.787598
2883.975098, 2872.469971, 2928.798828
2883.967529, 2872.481201, 2928.832520
2883.922607, 2872.500000, 2928.881348
2883.945068, 2872.511230, 2928.873779
2883.948730, 2872.514893, 2928.888672
2883.877441, 2872.526367, 2928.903809
2883.847412, 2872.556152, 2928.922607
2883.862549, 2872.526367, 2928.945068
2883.847412, 2872.537598, 2928.926270
2883.821289, 2872.552490, 2928.971191
2883.810059, 2872.522461, 2928.963867
2883.810059, 2872.537598, 2928.952393
2883.847412, 2872.556152, 2928.937500
2883.802490, 2872.563721, 2928.952393
2883.821289, 2872.563721, 2928.956299
2883.813721, 2872.582520, 2928.945068
2883.813721, 2872.560059, 2928.956299
2883.854980, 2872.604980, 2928.956299
2883.851318, 2872.620117, 2928.975098
2883.824951, 2872.604980, 2928.948730
2883.813721, 2872.646240, 2928.963867
2883.753662, 2872.601318, 2928.933838
2883.731201, 2872.574951, 2928.948730
2883.738770, 2872.556152, 2928.975098
2883.731201, 2872.552490, 2928.971191
2883.761230, 2872.511230, 2928.993652
2883.757568, 2872.514893, 2928.989990
2883.712402, 2872.503662, 2928.956299
2883.738770, 2872.511230, 2928.926270
2883.701172, 2872.526367, 2928.918701
2883.693848, 2872.518799, 2928.896240
2883.727539, 2872.514893, 2928.907471
2883.738770, 2872.507568, 2928.866211
2883.738770, 2872.507568, 2928.836182
2883.746338, 2872.522461, 2928.828857
2883.727539, 2872.533691, 2928.821289
2883.738770, 2872.514893, 2928.794922
2883.727539, 2872.552490, 2928.828857
2883.719971, 2872.541260, 2928.862549
2883.772461, 2872.556152, 2928.858643
2883.750000, 2872.541260, 2928.877441
2883.764893, 2872.567383, 2928.896240
2883.746338, 2872.567383, 2928.911133
2883.727539, 2872.548828, 2928.899902
2883.735107, 2872.537598, 2928.948730
2883.757568, 2872.537598, 2928.967529
2883.753662, 2872.548828, 2929.001221
2883.750000, 2872.503662, 2929.001221
2883.712402, 2872.530029, 2928.986328
2883.727539, 2872.526367, 2928.989990
2883.746338, 2872.537598, 2928.989990
2883.742432, 2872.526367, 2928.975098
2883.780029, 2872.544922, 2928.986328
2883.832520, 2872.560059, 2929.012451
2883.832520, 2872.571289, 2928.978760
2883.832520, 2872.590088, 2928.975098
2883.813721, 2872.601318, 2928.975098
2883.813721, 2872.608643, 2928.993652
2883.824951, 2872.590088, 2929.016357
2883.832520, 2872.574951, 2928.982422
2883.772461, 2872.563721, 2928.982422
2883.753662, 2872.574951, 2928.989990
2883.716309, 2872.556152, 2928.982422
2883.727539, 2872.563721, 2928.952393
2883.750000, 2872.567383, 2928.929932
2883.712402, 2872.560059, 2928.918701
2883.705078, 2872.552490, 2928.922607
2883.712402, 2872.571289, 2928.903809
2883.675049, 2872.582520, 2928.877441
2883.667480, 2872.597412, 2928.896240
2883.764893, 2872.620117, 2928.896240
2883.783691, 2872.620117, 2928.899902
2883.817383, 2872.627441, 2928.915039
2883.806152, 2872.635010, 2928.888672
2883.802490, 2872.608643, 2928.877441
2883.858643, 2872.597412, 2928.870117
2883.903809, 2872.582520, 2928.862549
2883.945068, 2872.574951, 2928.862549
2883.997559, 2872.571289, 2928.862549
2883.982422, 2872.548828, 2928.911133
2883.963867, 2872.552490, 2928.873779
2883.952393, 2872.541260, 2928.847412
2883.948730, 2872.541260, 2928.828857
2883.881348, 2872.518799, 2928.873779
2883.866211, 2872.544922, 2928.885010
2883.847412, 2872.556152, 2928.915039
2883.832520, 2872.590088, 2928.915039
2883.794922, 2872.563721, 2928.915039
2883.794922, 2872.578857, 2928.926270
2883.802490, 2872.582520, 2928.858643
2883.780029, 2872.556152, 2928.915039
2883.791260, 2872.567383, 2928.915039
2883.780029, 2872.578857, 2928.907471
2883.813721, 2872.601318, 2928.899902
2883.806152, 2872.574951, 2928.933838
2883.764893, 2872.578857, 2928.933838
2883.750000, 2872.560059, 2928.899902
2883.772461, 2872.604980, 2928.881348
2883.764893, 2872.571289, 2928.881348
2883.757568, 2872.560059, 2928.926270
2883.753662, 2872.563721, 2928.907471
2883.761230, 2872.567383, 2928.933838
2883.757568, 2872.560059, 2928.941162
2883.817383, 2872.556152, 2928.941162
2883.843750, 2872.578857, 2928.933838
2883.866211, 2872.578857, 2928.892578
2883.885010, 2872.582520, 2928.915039
2883.847412, 2872.586182, 2928.945068
2883.821289, 2872.578857, 2928.933838
2883.824951, 2872.597412, 2928.922607
2883.832520, 2872.601318, 2928.922607
2883.813721, 2872.601318, 2928.918701
2883.836182, 2872.590088, 2928.907471
2883.753662, 2872.590088, 2928.918701
2883.719971, 2872.563721, 2928.926270
2883.738770, 2872.590088, 2928.922607
2883.772461, 2872.616211, 2928.915039
2883.798828, 2872.582520, 2928.926270
2883.802490, 2872.586182, 2928.941162
2883.866211, 2872.552490, 2928.937500
2883.873779, 2872.560059, 2928.948730
2883.851318, 2872.537598, 2928.945068
2883.810059, 2872.537598, 2928.967529
2883.892578, 2872.522461, 2928.971191
2883.877441, 2872.548828, 2928.948730
2883.847412, 2872.526367, 2928.929932
2883.780029, 2872.541260, 2928.945068
2883.776367, 2872.541260, 2928.937500
2883.794922, 2872.560059, 2928.918701
2883.708740, 2872.590088, 2928.933838
2883.686279, 2872.608643, 2928.918701
2883.731201, 2872.612549, 2928.929932
2883.689941, 2872.627441, 2928.903809
2883.629883, 2872.638672, 2928.877441
2883.614990, 2872.642578, 2928.899902
2883.637451, 2872.620117, 2928.933838
2883.667480, 2872.567383, 2928.937500
2883.678711, 2872.571289, 2928.937500
2883.663818, 2872.574951, 2928.952393
